	rab.all	rab.win.E	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_K09_61	-0.105548367651085	0.210228481910751	-0.745272190465349	-1.30194170400962	4.21032627815204	-0.290280363701099	0.372355769888278	0.00694117925294084	0.0466481879660552	0.0101633996034598	0.0693020646178499
Sg_K10_28	-1.96730457674771	-1.91498643933557	-2.23205245440641	-0.57107842377217	6.98540847519922	-0.0760802897670573	0.462259615567392	0.317602597457114	0.810240824041654	0.446037948710657	0.988465469932101
Sg_K14_18	-0.710271495720384	-0.667725778425	-0.713785246873047	0.100274111932409	4.81271850688575	0.0236085917697585	0.490507089687619	0.779187515208127	1	0.775229216377194	1
Sg_K15_44	3.47016862159576	2.45439566256909	4.85279474374168	2.22071550196046	3.55941936973853	0.577511739025324	0.255948090943608	0.00000059089855013704	0.0000431669997152199	0.00000102777357885442	0.0000820460497696166
Sg_K16_50	-1.42631311307589	-0.951581112278887	-1.75439011926593	-0.732655060679308	6.03620151228843	-0.115916558722982	0.446875000258739	0.244055934218391	0.707279291058925	0.272103033167837	0.758702896963804
Sg_K16_53	2.10921154892893	2.33340469267001	1.96398783107845	-0.245379074710838	3.04847241012598	-0.0730538345638765	0.468750000151071	0.389306075125177	0.956076454083782	0.491689977180063	1
Sg_K17_22	-1.84953603389125	-1.53460855161346	-2.29042687117703	-0.408860752227034	2.71027864204214	-0.139829835088161	0.435472242565297	0.278971583573797	0.748924198488165	0.220889611732361	0.642786271336212
Sg_K22_66	0.841205476118223	0.595017282323774	1.09127349845727	0.497309499994513	1.78831007261551	0.264521406195403	0.378125000623948	0.00979995403890439	0.0463713947860762	0.0148073195629465	0.0576641327576057
Sg_K22_8	0.211233146287412	-0.64895605906834	1.07493043939409	1.08931409608174	2.75282473216523	0.352363490451473	0.351598174299252	0.0123392769245296	0.0554134199878332	0.00262810615459692	0.0161050838158934
Sg_K31_45	-3.84855659992995	-4.61404000224023	-2.43691372880609	1.91900770197113	4.77593293891292	0.364607909483683	0.314587840496352	0.000467466935132971	0.00503737157539684	0.000223691857787537	0.00304678924845999
Sg_K32_30	-4.49832213209991	-4.03800261016842	-5.26597610387118	-1.09427734074492	4.73036023213054	-0.198586187454318	0.398461908704878	0.0608230122542656	0.251938309590781	0.041047250662177	0.179040449957444
Sg_K34_1	-0.613991154458825	-0.426523965678441	-0.820308884327831	-0.536164907643523	1.99921043365207	-0.233850373579764	0.369382360684332	0.00119669949655323	0.0176057876300011	0.00888586310377563	0.0622379211407157
Sg_K36_16	5.30672386294075	4.10146223599411	7.10198028703401	2.98152272469527	4.91139761182024	0.593329332510883	0.257692309217252	0.000000364454301389136	0.0000408784360164856	0.000000988205144915322	0.0000820460497696166
Sg_K36_17	1.14032568737227	2.36292801083486	0.319814086332066	-1.97571245516602	4.52624961146443	-0.395722254053975	0.314107186810876	0.000643974297540413	0.0128659269800567	0.000196983012484051	0.00851419761395599
Sg_K36_27	2.66498337757437	1.99988144460119	2.98242112018427	1.04412108678491	2.97651332694931	0.33018789900882	0.361778846874509	0.00147267782995541	0.0112284762242275	0.00554013002862831	0.0261499141900796
Sg_K36_29	4.24867095114532	3.41799474914456	4.82807126883824	1.46102441345732	3.23727242279839	0.406633359362129	0.328767124221332	0.000238958356881012	0.00360116107207405	0.000364361192854296	0.00435035565525448
Sg_K36_3	-1.85920326122105	-1.5589012054473	-2.10723595696364	-0.714395214225068	4.42373176729642	-0.146952933516255	0.430528846494962	0.279690637197462	0.76940956552165	0.153156981460421	0.486827763759545
Sg_K36_6	1.5072632120801	1.26416193319616	1.74351271692629	0.322879682014142	2.61524161446434	0.114723362798403	0.445432692573623	0.304652352374526	0.888683801706651	0.278212638295862	0.805939278024771
Sg_K40_4	-1.49184077859167	-0.904420426664589	-2.24092894166062	-1.26528316267024	3.63126915155451	-0.313997831289533	0.353125000774054	0.00541033098486518	0.038967400606198	0.00266399180839362	0.0266489323388028
